start,end,latitude,longitude,altitude,precision,Feature to be mapped,What is the Environmental Hazard
2/1/2024,2/1/2024,7.236249,5.203416,365.1839256,5,Environmental Hazards,Erosion 
2/1/2024,2/1/2024,7.235918,5.204262,373,4.951800346,Environmental Hazards,Erosion 
2/1/2024,2/1/2024,7.2353,5.203655,372.6,5,Environmental Hazards,Erosion 
2/1/2024,2/1/2024,7.236956,5.207147,355.9715843,5,Environmental Hazards,Erosion 
2/1/2024,2/1/2024,7.236055,5.210499,356.0589256,5,Environmental Hazards,Erosion 
2/1/2024,2/2/2024,7.234325,5.201805,362.7725487,5,Environmental Hazards,Erosion 
2/1/2024,2/2/2024,7.234325,5.201805,362.7725487,5,Environmental Hazards,Erosion 
2/2/2024,2/2/2024,7.228948,5.199808,363.6347313,5,Environmental Hazards,Erosion 
2/2/2024,2/2/2024,7.231578,5.20281,358.1,2.200000048,Environmental Hazards,Erosion 
2/2/2024,2/2/2024,7.228025,5.18968,368.6665916,5,Environmental Hazards,Erosion 
2/2/2024,2/2/2024,7.228912,5.190365,369.8088036,5,Environmental Hazards,Erosion 
2/2/2024,2/2/2024,7.228715,5.195655,378.6,2.099999905,Environmental Hazards,Active gully
2/3/2024,2/3/2024,7.236848,5.200628,364.1,1.899999976,Environmental Hazards,Active gully
2/3/2024,2/3/2024,7.231225,5.189983,352.1618919,5,Environmental Hazards,Erosion 
2/3/2024,2/3/2024,7.240624,5.198847,361.8,2.200000048,Environmental Hazards,Erosion 
2/3/2024,2/3/2024,7.234271,5.187401,356.5788841,5,Environmental Hazards,Erosion 
2/3/2024,2/3/2024,7.236106,5.18644,351.9558983,5,Environmental Hazards,Erosion 
2/3/2024,2/3/2024,7.237921,5.188252,345.981411,5,Environmental Hazards,Active gully
2/3/2024,2/3/2024,7.242095,5.202948,375.7,2.5,Environmental Hazards,Erosion 
2/3/2024,2/3/2024,7.236426,5.194185,355.3488426,5,Environmental Hazards,Erosion 
